# NASA POWER daily point,lat=-2.5547,lon=120.3242,grid_elev_m=658.23,period=19960101-20260131
DATE,PRECTOTCORR,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,ALLSKY_KT,T2M,T2M_MAX,T2M_MIN,RH2M,WS10M,WS10M_MAX,WS2M,PS
19960521,18.71,4.7407,-999.0,3.348,-999.0,23.11,25.42,20.78,91.28,1.4,2.13,0.88,93.88
19960522,5.44,5.4672,-999.0,3.2232,-999.0,23.4,26.24,21.12,88.04,1.43,2.58,0.9,93.85
19960523,2.33,4.8346,-999.0,4.4184,-999.0,22.74,24.28,21.17,94.46,1.5,3.22,0.91,93.81
19960524,8.11,4.7033,-999.0,3.612,-999.0,23.07,25.55,21.16,86.55,1.27,2.06,0.82,93.85
19960525,53.76,4.6013,-999.0,3.1704,-999.0,22.99,25.65,20.65,87.77,1.18,1.77,0.74,93.93
19960526,29.55,4.2372,-999.0,4.1496,-999.0,22.88,24.51,21.89,88.35,1.05,1.67,0.66,93.89
19960527,29.1,4.2098,-999.0,3.5856,-999.0,23.0,25.8,21.5,87.54,1.33,2.32,0.85,93.78
19960528,5.25,4.0207,-999.0,3.6912,-999.0,23.07,25.55,21.15,85.54,0.88,1.53,0.55,93.73
19960529,1.42,5.166,-999.0,2.8776,-999.0,23.81,26.5,21.77,84.15,1.09,1.83,0.69,93.67
19960530,16.5,4.9195,-999.0,3.9288,-999.0,23.46,25.65,21.82,88.43,1.2,1.69,0.74,93.76
19960531,11.49,5.3551,-999.0,3.2976,-999.0,22.79,25.29,20.93,87.93,1.01,1.54,0.6,93.8
19960601,3.25,4.1921,-999.0,3.612,-999.0,23.24,25.68,21.42,85.43,1.05,1.66,0.66,93.7
19960602,8.55,4.9236,-999.0,3.4152,-999.0,23.36,25.76,21.54,86.21,1.46,2.2,0.91,93.67
19960603,11.21,3.2232,-999.0,3.1512,-999.0,22.64,23.82,21.76,88.86,1.18,2.5,0.76,93.72
19960604,11.84,4.4827,-999.0,4.044,-999.0,23.06,25.77,21.17,88.59,1.49,2.13,0.95,93.73
19960605,19.28,3.8993,-999.0,3.864,-999.0,22.67,25.08,21.2,89.85,1.39,2.1,0.89,93.75
19960606,6.91,4.0301,-999.0,3.9048,-999.0,22.63,25.25,20.79,85.73,1.09,1.52,0.7,93.78
19960607,14.43,4.4038,-999.0,3.6984,-999.0,23.27,26.18,21.32,88.19,1.22,2.12,0.79,93.6
19960608,13.16,3.5568,-999.0,3.3816,-999.0,22.33,23.86,20.88,91.84,0.8,1.35,0.47,93.56
19960609,2.65,4.4021,-999.0,4.0776,-999.0,22.55,24.0,21.13,91.01,0.79,1.59,0.51,93.54
19960610,3.23,3.6418,-999.0,3.6336,-999.0,22.77,25.21,20.75,90.11,1.08,1.69,0.66,93.62
19960611,0.33,4.2526,-999.0,4.0752,-999.0,23.35,26.34,20.9,85.24,1.43,2.34,0.87,93.67
19960612,1.99,5.4185,-999.0,3.048,-999.0,23.32,26.3,21.19,84.9,1.09,2.23,0.69,93.65
